fid,gid,objeto,fna,gna,nam,PROVINCIA,ACTIVIDAD,JUL_2020,AGO_2020,SEP_2020,OCT_2020,NOV_2020,DIC_2020,ENE_2021,FEB_2021,MAR_2021,ABR_2021,MAY_2021,JUN_2021,JUL_2021,AGO_2021,SEP_2021,OCT_2021,NOV_2021,DIC_2021,ENE_2022,FEB_2022,MAR_2022,ABR_2022,MAY_2022,JUN_2022,JUL_2022,AGO_2022,SEP_2022,OCT_2022,NOV_2022,DIC_2022,ENE_2023,FEB_2023,MAR_2023,ABR_2023,MAY_2023,JUN_2023,JUL_2023,AGO_2023,SEP_2023,OCT_2023,NOV_2023,DIC_2023,ENE_2024,FEB_2024,MAR_2024,ABR_2024,MAY_2024,JUN_2024,JUL_2024,AGO_2024,SEP_2024
341,1366,Departamento,Departamento Feliciano,Departamento,Feliciano,ENTRE RÍOS,GANADERÍA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,,,,,,,,,,
109,1244,Departamento,Partido de Florencio Varela,Partido,Florencio Varela,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1313,Departamento,Partido de Florentino Ameghino,Partido,Florentino Ameghino,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,,,,,,,,,,,,,,,,,,,,,
310,1292,Departamento,Departamento Formosa,Departamento,Formosa,FORMOSA,GANADERÍA,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1163,Departamento,Departamento Fray Justo Santa María de Oro,Departamento,Fray Justo Santa María de Oro,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,,,,,,,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
361,1476,Departamento,Departamento Garay,Departamento,Garay,SANTA FE,GANADERÍA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
17,1081,Departamento,Partido de General Alvarado,Partido,General Alvarado,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1249,Departamento,Partido de General Alvear,Partido,General Alvear,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
400,1519,Departamento,Departamento General Alvear,Departamento,General Alvear,CORRIENTES,GANADERÍA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,,,,,,,,,,,,,,,,,,,,,
141,1296,Departamento,Partido de General Arenales,Partido,General Arenales,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
75,1209,Departamento,Partido de General Belgrano,Partido,General Belgrano,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
325,1326,Departamento,Departamento General Belgrano,Departamento,General Belgrano,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,,,,,,,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
326,1327,Departamento,Departamento General Donovan,Departamento,General Donovan,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
280,1123,Departamento,Departamento General Güemes,Departamento,General Güemes,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
11,1075,Departamento,Partido de General Guido,Partido,General Guido,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
12,1076,Departamento,Partido de General Juan Madariaga,Partido,General Juan Madariaga,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,,,,,,,,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
116,1251,Departamento,Partido de General La Madrid,Partido,General La Madrid,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,317/2023,317/2023,,,,,,,,,,,,,,,,,,
105,1240,Departamento,Partido de General Las Heras,Partido,General Las Heras,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
22,1086,Departamento,Partido de General Lavalle,Partido,General Lavalle,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
183,1463,Departamento,Departamento General López,Departamento,General López,SANTA FE,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
377,1493,Departamento,Departamento General Manuel Belgrano,Departamento,General Manuel Belgrano,MISIONES,GANADERÍA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1462,Departamento,Departamento General Obligado,Departamento,General Obligado,SANTA FE,GANADERÍA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
10,1074,Departamento,Partido de General Paz,Partido,General Paz,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
388,1507,Departamento,Departamento General Paz,Departamento,General Paz,CORRIENTES,GANADERÍA,,,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,,,,,,,,,,,,,,,,,,,,,
31,1101,Departamento,Partido de General Pinto,Partido,General Pinto,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
18,1082,Departamento,Partido de General Pueyrredón,Partido,General Pueyrredón,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,,,,,,,,
198,1539,Departamento,Departamento General Roca,Departamento,General Roca,CÓRDOBA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,,,,,,,
99,1233,Departamento,Partido de General Rodríguez,Partido,General Rodríguez,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
96,1230,Departamento,Partido General San Martín,Partido,General San Martín,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1547,Departamento,Departamento General San Martín,Departamento,General San Martín,CÓRDOBA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,,,,,,,
107,1242,Departamento,Partido de General Viamonte,Partido,General Viamonte,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
48,1134,Departamento,Partido de General Villegas,Partido,General Villegas,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,,,,,,,,,,,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
393,1512,Departamento,Departamento Goya,Departamento,Goya,CORRIENTES,GANADERÍA,,,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,,,,,,,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,,,,,,,,,
155,1370,Departamento,Departamento Gualeguay,Departamento,Gualeguay,ENTRE RÍOS,GANADERÍA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,,,,,,,,,,
193,1500,Departamento,Departamento Gualeguaychú,Departamento,Gualeguaychú,ENTRE RÍOS,GANADERÍA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,,,,,,,,,,
126,1261,Departamento,Partido de Guaminí,Partido,Guaminí,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,,,,,,,,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
374,1490,Departamento,Departamento Guaraní,Departamento,Guaraní,MISIONES,GANADERÍA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1438,Departamento,Departamento Guatraché,Departamento,Guatraché,LA PAMPA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
120,1255,Departamento,Partido de Hipólito Yrigoyen,Partido,Hipólito Yrigoyen,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1436,Departamento,Departamento Hucal,Departamento,Hucal,LA PAMPA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
92,1226,Departamento,Partido de Hurlingham,Partido,Hurlingham,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1492,Departamento,Departamento Iguazú,Departamento,Iguazú,MISIONES,GANADERÍA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1161,Departamento,Departamento Independencia,Departamento,Independencia,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
164,1427,Departamento,Departamento Iriondo,Departamento,Iriondo,SANTA FE,GANADERÍA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
420,1545,Departamento,Departamento Ischilín,Departamento,Ischilín,CÓRDOBA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,,,,,,,
191,1497,Departamento,Departamento Islas del Ibicuy,Departamento,Islas del Ibicuy,ENTRE RÍOS,GANADERÍA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,,,,,,,,,,
405,1524,Departamento,Departamento Itatí,Departamento,Itatí,CORRIENTES,GANADERÍA,,,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,,,,,,,,,,,,,,,,,,,,,
98,1232,Departamento,Partido de Ituzaingó,Partido,Ituzaingó,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1522,Departamento,Departamento Ituzaingó,Departamento,Ituzaingó,CORRIENTES,GANADERÍA,,,,,,,,,,,,,,,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,,,,,,,,,,,,,,,,,,,,,
5,1068,Departamento,Partido de José C. Paz,Partido,José C. Paz,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1543,Departamento,Departamento Juárez Celman,Departamento,Juárez Celman,CÓRDOBA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,600/23,,,,,,,
88,1222,Departamento,Partido de Junín,Partido,Junín,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,56/2023,56/2023,56/2023,56/2023,56/2023,56/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
359,1469,Departamento,Departamento La Capital,Departamento,La Capital,SANTA FE,GANADERÍA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
23,1087,Departamento,Partido de La Costa,Partido,La Costa,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1073,Departamento,Partido de La Matanza,Partido,La Matanza,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1365,Departamento,Departamento La Paz,Departamento,La Paz,ENTRE RÍOS,GANADERÍA,,,,,,,,,,,,,,,,,,,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,39/2022,,,,,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,98/2023,,,,,,,,,,
152,1329,Departamento,Partido de La Plata,Partido,La Plata,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
278,1121,Departamento,Departamento Laishi,Departamento,Laishi,FORMOSA,GANADERÍA,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1320,Departamento,Partido de Lanús,Partido,Lanús,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1263,Departamento,Partido de Laprida,Partido,Laprida,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
349,1428,Departamento,Departamento Las Colonias,Departamento,Las Colonias,SANTA FE,GANADERÍA,,,,,,,,,,,,,,,,,,,31/2022,31/2022,31/2022,31/2022,31/2022,31/2022,,,,,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,16/2023,750/2023,750/2023,750/2023,750/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,1484/2023,,,,,,
2,1065,Departamento,Partido de Las Flores,Partido,Las Flores,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
392,1511,Departamento,Departamento Lavalle,Departamento,Lavalle,CORRIENTES,GANADERÍA,,,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,225/2020,,,,,36/2022,36/2022,36/2022,36/2022,36/2022,36/2022,869/2022,869/2022,869/2022,869/2022,869/2022,869/2022,,,,,,,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,1620/2023,,,,,,,,,
140,1294,Departamento,Partido de Leandro N. Alem,Partido,Leandro N. Alem,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
370,1486,Departamento,Departamento Leandro N. Alem,Departamento,Leandro N. Alem,MISIONES,GANADERÍA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1110,Departamento,Partido de Lezama,Partido,Lezama,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
323,1324,Departamento,Departamento Libertad,Departamento,Libertad,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
312,1295,Departamento,Departamento Libertador General San Martín,Departamento,Libertador General San Martín,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
379,1495,Departamento,Departamento Libertador General San Martín,Departamento,Libertador General San Martín,MISIONES,GANADERÍA,,,,,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,285/2020,,,,,,,,21/2022,21/2022,21/2022,21/2022,21/2022,21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1435,Departamento,Departamento Lihuel Calel,Departamento,Lihuel Calel,LA PAMPA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929/2023,929/2023,929/2023,929/2023,929/2023,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
170,1437,Departamento,Departamento Limay Mahuida,Departamento,Limay Mahuida,LA PAMPA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,528/2023,528/2023,528/2023,528/2023,528/2023,528/2023,528/2023,,,,1485/2023,1485/2023,1485/2023,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
97,1231,Departamento,Partido de Lincoln,Partido,Lincoln,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
134,1270,Departamento,Partido de Lobería,Partido,Lobería,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1248,Departamento,Partido de Lobos,Partido,Lobos,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,56/2023,56/2023,56/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
149,1321,Departamento,Partido de Lomas de Zamora,Partido,Lomas de Zamora,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1448,Departamento,Departamento Loventué,Departamento,Loventué,LA PAMPA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,528/2023,528/2023,528/2023,528/2023,528/2023,528/2023,528/2023,,,,1485/2023,1485/2023,1485/2023,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
91,1225,Departamento,Partido de Luján,Partido,Luján,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
24,1088,Departamento,Partido de Magdalena,Partido,Magdalena,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,56/2023,56/2023,56/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
7,1070,Departamento,Partido de Maipú,Partido,Maipú,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,208/2023,208/2023,208/2023,208/2023,208/2023,208/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,946/2024,946/2024,946/2024,946/2024,946/2024,946/2024,,,,,
297,1183,Departamento,Departamento Maipú,Departamento,Maipú,CHACO,GANADERÍA,,,,224/2020,224/2020,224/2020,224/2020,224/2020,224/2020,69/2021,69/2021,69/2021,69/2021,69/2021,69/2021,,,,,41/22,41/22,41/22,41/22,41/22,41/22,,,,,,194/23,194/23,194/23,194/23,194/23,194/23,194/23,,,,,,,,,,,,,,
95,1229,Departamento,Partido de Malvinas Argentinas,Partido,Malvinas Argentinas,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1083,Departamento,Partido de Mar Chiquita,Partido,Mar Chiquita,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1439,Departamento,Departamento Maracó,Departamento,Maracó,LA PAMPA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024,986/2024
201,1550,Departamento,Departamento Marcos Juárez,Departamento,Marcos Juárez,CÓRDOBA,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290/2023,290/2023,290/2023,290/2023,290/2023,290/2023,290/2023,290/2023,290/2023,290/2023,290/2023,290/2023,1523/23,1523/23,,,,,,,
106,1241,Departamento,Partido de Marcos Paz,Partido,Marcos Paz,BUENOS AIRES,GANADERÍA,,,,,,,,,,,,,,,,,,,,,,,,,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,317/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,587/2023,,,,,,,,,,,
456,1152,Departamento,Departamento Matacos,Departamento,Matacos,FORMOSA,GANADERÍA,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,201/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
